ObjectID,Redshift,logMBH,logMBHerr,logLbol,logMstellar,logMstellar_l,logMstellar_u,Instrument,Line
cid_2728,1.506,7.69,0.73,45.18,10.66,0.11,0.00,DEIMOS,MgII
cid_3021,1.755,7.57,0.01,45.58,10.58,0.26,0.04,DEIMOS,MgII
cid_3242,1.530,8.62,0.23,45.25,11.40,0.06,0.06,DEIMOS,MgII
cid_3385,1.819,8.19,0.08,45.46,10.90,0.08,0.03,DEIMOS,MgII
lid_0286,1.205,7.93,0.02,44.57,10.99,0.22,0.14,DEIMOS,MgII
lid_0291,0.851,8.28,0.46,45.58,11.13,0.07,0.00,DEIMOS,MgII
lid_0338,1.209,8.06,0.01,45.83,11.57,0.23,0.00,DEIMOS,MgII
lid_0381,0.767,8.15,0.07,45.34,11.46,0.18,0.00,FMOS,Halpha
lid_0405,1.434,8.98,0.08,46.55,11.49,0.05,0.21,DEIMOS,MgII
lid_0437,1.260,8.54,0.16,45.59,11.25,0.53,0.09,DEIMOS,MgII
lid_0485,2.034,7.81,0.69,45.42,10.94,0.10,0.10,DEIMOS,MgII
lid_0491,2.543,8.66,0.20,46.34,11.87,0.87,0.00,FMOS,Hbeta
lid_0579,2.079,8.84,0.44,45.87,11.14,0.00,0.17,DEIMOS,MgII
lid_0592,1.561,8.91,0.43,46.06,12.35,0.23,0.06,DEIMOS,MgII
lid_0636,2.393,7.94,0.06,45.19,11.20,0.11,0.08,DEIMOS,MgII
lid_0638,1.421,7.36,0.24,45.13,10.42,0.78,0.29,DEIMOS,MgII
lid_0685,2.039,9.04,0.18,46.20,12.35,1.76,0.00,DEIMOS,MgII
lid_0736,1.264,8.03,0.01,45.45,11.19,0.05,0.06,DEIMOS,MgII
lid_0738,1.477,8.42,0.01,45.14,11.30,0.00,0.09,DEIMOS,MgII
lid_0961,1.507,9.65,0.02,46.99,11.38,0.00,0.18,FMOS,Halpha
lid_1273,1.622,8.49,0.03,45.37,11.77,0.00,0.32,FMOS,Halpha
lid_1305,1.247,8.02,0.01,45.38,11.38,0.17,0.06,DEIMOS,MgII
lid_1453,0.736,8.42,0.14,44.32,9.96,0.07,0.07,DEIMOS,Hbeta
lid_1476,1.263,8.22,0.01,45.34,11.28,0.08,0.16,DEIMOS,MgII
lid_1502,1.541,8.66,0.45,45.87,11.65,1.07,0.00,DEIMOS,MgII
lid_1538,1.523,8.19,0.05,46.03,11.84,0.06,0.06,FMOS,Halpha
lid_1565,1.592,8.46,0.05,46.73,11.78,0.32,0.36,FMOS,Halpha
lid_1590,1.596,8.78,0.06,45.99,11.35,0.24,0.02,FMOS,Halpha
lid_1802,2.084,8.08,0.06,45.29,11.16,0.08,0.03,DEIMOS,MgII
lid_1878,1.608,8.90,0.02,45.69,11.67,0.04,0.00,FMOS,Halpha
lid_3456,2.146,8.02,0.57,45.03,11.87,0.06,0.00,DEIMOS,MgII
